keycode,event,time
32,Up,1652563595.3719523
84,Down,1652563595.644229
84,Up,1652563595.7366185
72,Down,1652563595.8304064
72,Up,1652563595.9218366
69,Down,1652563596.2272906
69,Up,1652563596.330161
32,Down,1652563596.4870267
32,Up,1652563596.6410582
72,Down,1652563597.0511646
72,Up,1652563597.1368876
73,Down,1652563597.414331
73,Up,1652563597.5048902
71,Down,1652563598.1267514
71,Up,1652563598.1979735
72,Down,1652563598.3465703
72,Up,1652563598.428049
69,Down,1652563598.6360083
69,Up,1652563598.7040517
83,Down,1652563598.9216924
83,Up,1652563599.0427241
84,Down,1652563599.5210474
84,Up,1652563599.5976772
32,Down,1652563599.8811653
32,Up,1652563599.9857063
79,Down,1652563600.166688
79,Up,1652563600.2544909
80,Down,1652563600.4921181
80,Up,1652563600.5696652
73,Down,1652563600.8853269
73,Up,1652563601.0035632
78,Down,1652563601.1498587
78,Up,1652563601.2397597
73,Down,1652563601.4078226
73,Up,1652563601.5109775
79,Down,1652563601.7068245
79,Up,1652563601.7949677
78,Down,1652563602.0877576
78,Up,1652563602.1608913
190,Down,1652563602.7842774
190,Up,1652563602.873791
32,Down,1652563603.2165456
32,Up,1652563603.333708
67,Down,1652563603.771986
67,Up,1652563603.8908148
79,Down,1652563604.0847714
79,Up,1652563604.1823452
77,Down,1652563604.4218376
77,Up,1652563604.5004275
80,Down,1652563604.6540887
80,Up,1652563604.7522368
76,Down,1652563604.9600177
76,Up,1652563605.0458825
73,Down,1652563605.24102
73,Up,1652563605.3187592
77,Down,1652563605.516605
77,Up,1652563605.6078413
69,Down,1652563605.7318802
69,Up,1652563605.81082
78,Down,1652563606.1800833
78,Up,1652563606.2499204
84,Down,1652563606.5910637
84,Up,1652563606.7227416
83,Down,1652563607.0425293
83,Up,1652563607.2006903
32,Down,1652563607.3088646
32,Up,1652563607.4480743
65,Down,1652563607.6298168
65,Up,1652563607.7378163
76,Down,1652563607.9897063
76,Up,1652563608.0878239
87,Down,1652563608.4102142
87,Up,1652563608.4856791
65,Down,1652563608.5889022
65,Up,1652563608.6971862
89,Down,1652563609.0590346
89,Up,1652563609.1419494
83,Down,1652563609.4549642
83,Up,1652563609.5568888
32,Down,1652563609.6869838
32,Up,1652563609.7870233
84,Down,1652563610.1202898
84,Up,1652563610.210162
65,Down,1652563610.3711839
65,Up,1652563610.4562025
75,Down,1652563610.630004
75,Up,1652563610.725033
69,Down,1652563611.0119848
69,Up,1652563611.0925143
32,Down,1652563611.2808475
32,Up,1652563611.3768554
89,Down,1652563611.6300979
89,Up,1652563611.7274103
79,Down,1652563611.913455
79,Up,1652563612.01924
85,Down,1652563612.3475647
85,Up,1652563612.4518692
32,Down,1652563613.1599774
32,Up,1652563613.291062
66,Down,1652563613.741892
66,Up,1652563613.8011868
89,Down,1652563614.1424105
89,Up,1652563614.218506
32,Down,1652563614.4148412
32,Up,1652563614.5638442
83,Down,1652563614.7785466
83,Up,1652563614.8734176
85,Down,1652563615.141845
85,Up,1652563615.2069209
82,Down,1652563615.5945582
82,Up,1652563615.6605508
80,Down,1652563615.8721147
80,Up,1652563615.959436
82,Down,1652563616.091
82,Up,1652563616.2193036
73,Down,1652563616.4896028
73,Up,1652563616.56808
83,Down,1652563616.8794181
83,Up,1652563616.9700897
69,Down,1652563617.5577598
69,Up,1652563617.620354
188,Down,1652563618.3115978
32,Down,1652563618.3317027
188,Up,1652563618.406721
32,Up,1652563618.4810636
65,Down,1652563618.6344075
65,Up,1652563618.763048
78,Down,1652563619.0689898
78,Up,1652563619.1726058
68,Down,1652563619.4606204
68,Up,1652563619.5876565
32,Down,1652563619.8136938
32,Up,1652563619.940801
77,Down,1652563620.213426
77,Up,1652563620.2925236
69,Down,1652563620.539646
69,Up,1652563620.6068246
32,Down,1652563620.7224414
32,Up,1652563620.8323677
78,Down,1652563621.0010738
78,Up,1652563621.0890388
69,Down,1652563621.112537
69,Up,1652563621.1987834
86,Down,1652563621.363693
86,Up,1652563621.4618106
69,Down,1652563621.647104
69,Up,1652563621.7906525
82,Down,1652563622.635974
82,Up,1652563622.7097056
190,Down,1652563623.608214
190,Up,1652563623.7083414
32,Down,1652563624.0597537
32,Up,1652563624.1638072
87,Down,1652563624.5028584
87,Up,1652563624.591497
72,Down,1652563624.7863019
72,Up,1652563624.8828874
65,Down,1652563625.0837388
65,Up,1652563625.2599971
84,Down,1652563625.4490244
84,Up,1652563625.5931642
32,Down,1652563625.7498372
32,Up,1652563625.8707757
67,Down,1652563626.1430998
67,Up,1652563626.2219346
79,Down,1652563626.5707042
79,Up,1652563626.6798031
85,Down,1652563626.7467039
85,Up,1652563626.8208911
76,Down,1652563626.9718735
76,Up,1652563627.075037
68,Down,1652563627.4286063
68,Up,1652563627.506738
32,Down,1652563627.9957073
32,Up,1652563628.112771
66,Down,1652563628.521235
66,Up,1652563628.6102297
69,Down,1652563628.7369967
69,Up,1652563628.8177245
32,Down,1652563628.9322667
32,Up,1652563629.0657616
77,Down,1652563629.2418044
77,Up,1652563629.3136868
79,Down,1652563629.6057706
79,Up,1652563629.6869876
82,Down,1652563629.8149676
82,Up,1652563629.9218087
69,Down,1652563630.4103775
69,Up,1652563630.4812467
32,Down,1652563630.710639
32,Up,1652563630.8188422
78,Down,1652563631.1071904
78,Up,1652563631.1909556
65,Down,1652563631.1919613
65,Up,1652563631.3131566
84,Down,1652563631.515313
84,Up,1652563631.5947776
85,Down,1652563631.8145976
85,Up,1652563631.897556
82,Down,1652563632.0449054
82,Up,1652563632.1367729
65,Down,1652563632.324796
65,Up,1652563632.426665
76,Down,1652563632.9966874
76,Up,1652563633.092853
32,Down,1652563633.1238546
32,Up,1652563633.2732563
84,Down,1652563633.5289042
84,Up,1652563633.623663
72,Down,1652563633.783769
72,Up,1652563633.8824122
65,Down,1652563633.9987814
65,Up,1652563634.0990012
78,Down,1652563634.3679278
78,Up,1652563634.446769
32,Down,1652563634.5466185
32,Up,1652563634.6666381
72,Down,1652563635.260959
72,Up,1652563635.3358538
73,Down,1652563635.5498252
73,Up,1652563635.631824
83,Down,1652563635.725018
83,Up,1652563635.797678
32,Down,1652563635.870442
32,Up,1652563635.971327
65,Down,1652563636.0923722
83,Down,1652563636.2338407
65,Up,1652563636.305771
83,Up,1652563636.3448465
75,Down,1652563636.4108393
75,Up,1652563636.4996834
73,Down,1652563636.612311
73,Up,1652563636.6956606
78,Down,1652563636.9310606
78,Up,1652563637.019628
71,Down,1652563637.4944642
71,Up,1652563637.5757425
32,Down,1652563637.70975
32,Up,1652563637.8017676
89,Down,1652563638.435838
89,Up,1652563638.5031085
79,Down,1652563638.6715012
79,Up,1652563638.7727456
85,Down,1652563638.8731067
85,Up,1652563638.9696891
32,Down,1652563638.9736965
32,Up,1652563639.076728
65,Down,1652563639.2169178
65,Up,1652563639.372048
71,Down,1652563639.4774299
71,Up,1652563639.5592403
65,Down,1652563639.687818
65,Up,1652563639.7848
73,Down,1652563640.0343566
78,Down,1652563640.1506708
73,Up,1652563640.2156394
78,Up,1652563640.252767
191,Down,1652563641.2207515
191,Up,1652563641.3116071
