user,time,button,state,x,y
Nikita,1649452732.310499,NoButton,Move,756,376
Nikita,1649452732.3114986,NoButton,Move,757,377
Nikita,1649452732.3124979,NoButton,Move,758,378
Nikita,1649452732.3145015,NoButton,Move,760,378
Nikita,1649452732.3145015,NoButton,Move,761,379
Nikita,1649452732.3155057,NoButton,Move,762,379
Nikita,1649452732.3165035,NoButton,Move,763,380
Nikita,1649452732.3174975,NoButton,Move,765,381
Nikita,1649452732.3184984,NoButton,Move,766,381
Nikita,1649452732.3194983,NoButton,Move,767,382
Nikita,1649452732.3217962,NoButton,Move,769,383
Nikita,1649452732.3221152,NoButton,Move,770,384
Nikita,1649452732.3231223,NoButton,Move,771,385
Nikita,1649452732.3241217,NoButton,Move,772,386
Nikita,1649452732.3251226,NoButton,Move,773,386
Nikita,1649452732.326123,NoButton,Move,775,387
Nikita,1649452732.3271224,NoButton,Move,777,388
Nikita,1649452732.3281221,NoButton,Move,778,389
Nikita,1649452732.329122,NoButton,Move,779,390
Nikita,1649452732.331125,NoButton,Move,780,391
Nikita,1649452732.331125,NoButton,Move,782,393
Nikita,1649452732.333122,NoButton,Move,783,394
Nikita,1649452732.333122,NoButton,Move,784,395
Nikita,1649452732.334122,NoButton,Move,785,396
Nikita,1649452732.3351278,NoButton,Move,787,397
Nikita,1649452732.3367913,NoButton,Move,788,398
Nikita,1649452732.337624,NoButton,Move,789,399
Nikita,1649452732.3386307,NoButton,Move,790,400
Nikita,1649452732.339632,NoButton,Move,791,400
Nikita,1649452732.3406317,NoButton,Move,792,401
Nikita,1649452732.3416333,NoButton,Move,793,402
Nikita,1649452732.3426309,NoButton,Move,796,403
Nikita,1649452732.3436332,NoButton,Move,797,404
Nikita,1649452732.3446302,NoButton,Move,798,406
Nikita,1649452732.3456316,NoButton,Move,799,407
Nikita,1649452732.3466344,NoButton,Move,801,408
Nikita,1649452732.3476334,NoButton,Move,802,410
Nikita,1649452732.3486364,NoButton,Move,804,412
Nikita,1649452732.3496363,NoButton,Move,805,413
Nikita,1649452732.3506334,NoButton,Move,806,414
Nikita,1649452732.3516343,NoButton,Move,809,416
Nikita,1649452732.352635,NoButton,Move,810,417
Nikita,1649452732.3536346,NoButton,Move,811,418
Nikita,1649452732.3546364,NoButton,Move,813,419
Nikita,1649452732.3556356,NoButton,Move,814,422
Nikita,1649452732.356636,NoButton,Move,815,423
Nikita,1649452732.3576334,NoButton,Move,818,425
Nikita,1649452732.3586342,NoButton,Move,819,426
Nikita,1649452732.3596313,NoButton,Move,820,427
Nikita,1649452732.3606308,NoButton,Move,822,429
Nikita,1649452732.3616312,NoButton,Move,823,431
Nikita,1649452732.3626335,NoButton,Move,824,433
Nikita,1649452732.3636343,NoButton,Move,826,434
Nikita,1649452732.3646307,NoButton,Move,829,438
Nikita,1649452732.3656323,NoButton,Move,832,441
Nikita,1649452732.366635,NoButton,Move,833,442
Nikita,1649452732.367772,NoButton,Move,835,444
Nikita,1649452732.3687809,NoButton,Move,836,445
Nikita,1649452732.3697798,NoButton,Move,837,447
Nikita,1649452732.37078,NoButton,Move,840,448
Nikita,1649452732.3717809,NoButton,Move,841,451
Nikita,1649452732.3727803,NoButton,Move,842,452
Nikita,1649452732.3737798,NoButton,Move,843,454
Nikita,1649452732.374783,NoButton,Move,846,457
Nikita,1649452732.37578,NoButton,Move,848,461
Nikita,1649452732.376786,NoButton,Move,849,462
Nikita,1649452732.377674,NoButton,Move,852,464
Nikita,1649452732.37868,NoButton,Move,853,467
Nikita,1649452732.37968,NoButton,Move,854,468
Nikita,1649452732.3806827,NoButton,Move,855,470
Nikita,1649452732.3816814,NoButton,Move,858,472
Nikita,1649452732.382683,NoButton,Move,860,476
Nikita,1649452732.3836827,NoButton,Move,862,479
Nikita,1649452732.3846812,NoButton,Move,864,481
Nikita,1649452732.3856814,NoButton,Move,865,484
Nikita,1649452732.386682,NoButton,Move,868,486
Nikita,1649452732.3876817,NoButton,Move,869,489
Nikita,1649452732.3886826,NoButton,Move,870,491
Nikita,1649452732.3896797,NoButton,Move,873,493
Nikita,1649452732.390683,NoButton,Move,874,497
Nikita,1649452732.3916807,NoButton,Move,875,499
Nikita,1649452732.3926806,NoButton,Move,878,502
Nikita,1649452732.3936806,NoButton,Move,879,504
Nikita,1649452732.394681,NoButton,Move,882,505
Nikita,1649452732.3956807,NoButton,Move,883,509
Nikita,1649452732.3966815,NoButton,Move,884,512
Nikita,1649452732.397682,NoButton,Move,885,514
Nikita,1649452732.3986828,NoButton,Move,888,515
Nikita,1649452732.3996813,NoButton,Move,889,518
Nikita,1649452732.4006817,NoButton,Move,890,520
Nikita,1649452732.4016798,NoButton,Move,893,523
